id,name,code,account_type,reconcile,tag_ids
pos_receivable,Cuentas por Cobrar (PoS),11210103,asset_receivable,True,l10n_py_coa.account_tag_paraguay
prepayments,Anticipo de Clientes,21501,liability_current,False,l10n_py_coa.account_tag_paraguay
receivable,Clientes M.L.,11210102,asset_receivable,True,l10n_py_coa.account_tag_paraguay
stock_in,Mercaderias Recibidas,1135,asset_current,True,l10n_py_coa.account_tag_paraguay
stock_out,Mercaderías Entregadas,1136,asset_current,True,l10n_py_coa.account_tag_paraguay
stock_valuation,Mercaderias,1133,asset_current,False,l10n_py_coa.account_tag_paraguay
tax_paid,IVA a pagar,21406,liability_current,False,l10n_py_coa.account_tag_paraguay
tax_payable,IVA Crédito Fiscal (10%),112201,asset_non_current,False,l10n_py_coa.account_tag_paraguay
tax_receivable,IVA Débito Fiscal (10%),21401,liability_current,False,l10n_py_coa.account_tag_paraguay
tax_received,Retención de IVA,112204,asset_non_current,False,l10n_py_coa.account_tag_paraguay
to_receive_pay,Documentos a Pagar,21201,liability_payable,True,l10n_py_coa.account_tag_paraguay
to_receive_rec,Mercaderias a Recibir,1134,asset_current,True,l10n_py_coa.account_tag_paraguay
